grammar_error_sentence,corrected_sentence,spelling_error_sentences
ඔබ සින්දු කිව්වොත් අපි වේගයෙන් යැවවෙති,ඔබ සින්දු කිව්වොත් අපි වේගයෙන් යැවෙමු,ඔබ සින්දු කිව්වොත් අපි වේගයෙන් ැවෙමු
නුබලා ඔහුගෙන් පොතක් දෙන්න,වාහන ඔහුගෙන් පොතක් ගැනවේ,වාහන ඔහුගෙන් පොතක් ගැනේ
අපි පොත බලා වේගයෙන් යහි,අපි පොත බලා වේගයෙන් යවමු,අපි ොත බලා වේගයෙන් යවමු
ළමයි වේගයෙන් යැවෙහු,ළමයි වේගයෙන් ගියෝය,ළමය වේගයෙන් ගියෝය
ඔබ සින්දු කිව්වොත් ළමයි යනලදී,ඔබ සින්දු කිව්වොත් ළමයි යවන්නෝය,ඔ සින්දු කිව්වොත් ළමයි යවන්නෝය
වාහනය පොත බලා ගෙදර යහුවා,වාහනය පොත බලා ගෙදර යවයි,ාහනය පොත බලා ගෙදර යවයි
වාහන ගෙදර යන්නෙමුවා,වාහන ගෙදර යන්නීය,ාහන ගෙදර යන්නීය
අපි බත් කමින් ගෙදර ගියාය,අපි බත් කමින් ගෙදර ගියෙමු,අපි බත් කමින් ගෙදර ගිෙමු
අපි බත් කමින් වේගයෙන් යන්නෙමි,මම බත් කමින් වේගයෙන් යැවෙමි,මම බත් කමින් වේගයෙන් යවෙමි
වාහනය පොත බලා වේගයෙන් යහි,වාහනය පොත බලා වේගයෙන් යවයි,වාහන පොත බලා වේගයෙන් යවයි
මම ඔහුගෙන් පොතක් දුන්නෙහි,වාහන ඔහුගෙන් පොතක් ගැනවේ,වාහන ඔහුගන් පොතක් ගැනවේ
මම නැටුම් නටද්දී අපි ගියේය,මම නැටුම් නටද්දී අපි ගියෙමු,ම නැටුම් නටද්දී අපි ගියෙමු
ඔබ සින්දු කිව්වොත් මම ඔහුගෙන් පොතක් ගනිල්ලා,ඔබ සින්දු කිව්වොත් මම ඔහුගෙන් පොතක් ගන්නෙමිවා,ඔබ සින්දු කිව්වොත් මම ඔහුගෙන පොතක් ගන්නෙමිවා
ඔබ සින්දු කිව්වොත් මම ගෙදර යවු,ඔබ සින්දු කිව්වොත් මම ගෙදර යවමි,ඔබ සින්ද කිව්වොත් මම ගෙදර යවමි
ඔබ සින්දු කිව්වොත් ළමයි ඔහුට පොතක් දෙවන්නෙමි,ඔබ සින්දු කිව්වොත් ළමයි ඔහුට පොතක් දෙවති,ඔබ සින්ද කිව්වොත් ළමයි ඔහුට පොතක් දෙවති
ඔබ සින්දු කිව්වොත් ළමයා යවති,ඔබ සින්දු කිව්වොත් ළමයා යයි,ඔබ සින්ද කිව්වොත් ළමයා යයි
ඔබ සින්දු කිව්වොත් ළමයි ගෙදර වේගයෙන් යනවාලා,ඔබ සින්දු කිව්වොත් ළමයි ගෙදර වේගයෙන් යති,ඔබ සින්දු කිව්වොත් ළමයි ගෙද වේගයෙන් යති
අපි පොත බලා ගෙදර යහිවා,අපි පොත බලා ගෙදර යවමු,අපි පොත බලා ගෙද යවමු
ඔබ සින්දු කිව්වොත් අපි යහුවා,ඔබ සින්දු කිව්වොත් අපි යවමු,ඔබ සින්දු කිව්වොත් අි යවමු
ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවෙහු,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවේ,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන යැවේ
අපි බත් කමින් යවහි,අපි බත් කමින් යවමු,අපි බ් කමින් යවමු
ඔබ සින්දු කිව්වොත් මම යන්නෙහිවා,ඔබ සින්දු කිව්වොත් මම යන්නෙමිවා,ඔ සින්දු කිව්වොත් මම යන්නෙමිවා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් ගන්නෙමු,මම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ,මම නැටුම් නද්දී වාහන ගෙදර වේගයෙන් යැවවේ
ලස්සන වාහන බත් කමින් ගෙදර යන්නෙමුවා,ලස්සන වාහන බත් කමින් ගෙදර යන්නීය,ලස්සන වාහන බත් කමින් ෙදර යන්නීය
වාහන ගෙදර යවන්නෙහි,වාහන ගෙදර යවන්නීය,වාහන ගෙදර යවන්නී
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් ගන්වන්නෙහු,මම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ,මම නැටම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ
නුබලා බත් කමින් ගෙදර වේගයෙන් ගියෙමි,නුබලා බත් කමින් ගෙදර වේගයෙන් යහුවා,නුලා බත් කමින් ගෙදර වේගයෙන් යහුවා
වාහන ගෙදර යවහි,වාහන ගෙදර යවයි,වාහන ගෙදර යවි
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් ගනිමුවා,මම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ,මම නැටුම නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ
